"member_state","url","search","hits"
"Brazil","http://www.un.org/depts/dhl/unms/brazil.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Brazil",2425
"Brunei Darussalam","http://www.un.org/depts/dhl/unms/bruneidarussalam.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Brunei+Darussalam",754
"Bulgaria","http://www.un.org/depts/dhl/unms/bulgaria.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Bulgaria",2983
"Burkina Faso","http://www.un.org/depts/dhl/unms/burkinafaso.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.AW&term=%22Burkina+Faso%22+OR+%22Upper+Volta%22&oper=AND&index=.TW&term=%22draft+resolution%22",1404
"Burundi","http://www.un.org/depts/dhl/unms/burundi.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Burundi",1215
"Cambodia","http://www.un.org/depts/dhl/unms/cambodia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.AW&term=Cambodia+OR+%22Democratic+Kampuchea%22+OR+%22Khmer+Republic%22&oper=AND&index=.TW&term=%22draft+resolution%22",520
"Cameroon","http://www.un.org/depts/dhl/unms/cameroon.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Cameroon",1733
"Canada","http://www.un.org/depts/dhl/unms/canada.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Canada",4126
"Cabo Verde","http://www.un.org/depts/dhl/unms/caboverde.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Cape+Verde",1104
"Central African Republic","http://www.un.org/depts/dhl/unms/centralafricanrepublic.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Central+African+Republic",642
